Length,01_Sham-cJ-1,02_Sham-cJ-2,03_Sham-cJ-3,04_TAC-cJ-4,05_TAC-cJ-5,06_TAC-cJ-6,07_Sham-cByJ-1,08_Sham-cByJ-2,09_Sham-cByJ-3,10_TAC-cByJ-4,11_TAC-cByJ-5,12_TAC-cByJ-6,shrunkenLFC TAC-cJ/Sham-cJ,shrunkenLFC TAC-cByJ/Sham-cByJ,padj TAC-cJ/Sham-cJ,padj TAC-cByJ/Sham-cByJ
140.88236989667948,10.439474301569154,-0.2643408355081394,0.038338831275366046,-0.00023834737156125222,-0.015207010490600428,-0.014679751777093034,-0.0051705885386997864,0.0008651197017583119,-1.57449917828872e-05,-0.0025724651962726226,8.08051611836723e-05,-0.001250712050952809,-6.4123819225330345e-06,-6.822244271642448e-07,2.6041526128803087e-07,1.1241914525679668e-14
-5.846404541501148,-11.919875885814704,-2.2184728782673133,1.9812422395076008,-1.0716390348793932,2.6055791361968543,0.11640374602117029,3.6752401319695798,0.16540622472859107,0.09851802012658446,-0.03751840406441933,1.1666002333965744,0.1802838715748347,-3.515981908602931e-05,-8.799706690861464e-06,-8.681643637855933e-06,1.1241914525679665e-14
-5.484550992096444,-17.63043446649415,-7.312106621930427,5.234795376383194,2.7125283035818852,-1.653173181447343,1.2135152421734334,-0.6405613912260174,1.344321463624004,-0.5338629737507881,-0.8271989552119875,0.13164559180104857,0.25978388000071034,-2.7025301369192977e-05,-1.0423277076831988e-05,-2.6673813735833518e-06,1.1241914525679649e-14
-5.703350066187361,-15.519940591979063,-6.0252268163257545,2.496079229585255,-1.5542291964679287,-0.387880080308997,-0.8034052773480902,-0.2015805101909758,-1.0317796244694213,0.5726942793764102,2.27895159950341,-1.2001911337428957,-0.12803510624133274,-1.6942370680206874e-05,-1.6217706738513287e-05,-1.1582964531442993e-05,1.1241914525679646e-14
-5.890620922327943,-11.171971915806695,1.6524633190655322,0.730743639163153,-0.7483925716479587,1.7762411535498646,-2.276852030867089,-2.8182907157491557,1.1186528331151915,-0.49792336979756596,0.47480759922948,1.4481793227130724,-0.4629688347588852,2.8520887316115597e-05,3.089935602995557e-05,2.9474702058292744e-06,1.1241914525679586e-14
-5.789701301106077,-10.964238607158348,3.8744895042609526,2.6548130761144884,-0.24221495664336504,0.6293838457851101,-2.617521306189239,-0.09272650096155252,-1.4461946427202357,0.21035585569027404,-1.8993036711148208,-1.1343897070642135,0.6340557165970253,3.345574459897443e-05,4.973693619263631e-06,1.7249731702689605e-05,1.1241914525679677e-14
-5.838815483998051,-7.2882319963178315,9.641304844933098,3.4062083501144733,-2.6213470487458594,-2.2958660515391913,2.257156810950282,-0.23045774090078597,-0.540227964698369,-0.03666131148174746,0.17532023881946232,0.5770897031006483,0.02357902336819488,-1.5373829959481671e-06,2.881786787041209e-06,3.4306310358617966e-06,1.124191452567971e-14
-5.785927761058358,-13.48441948913592,-3.768480368722864,-3.635315345690797,-0.5770599160481628,-1.4128918052881203,0.07945828289472419,-0.21436138074499417,-0.33291358967922696,2.3053556953254364,-1.0652272286763222,0.5638421795977446,-1.129576140143131,-1.6491203408639045e-05,-3.3203096024132835e-07,6.415702735584941e-06,1.1241914525679706e-14
-5.901560356437371,-10.497096022629671,-0.510240758037497,-4.324788685248488,1.1018599439411565,-0.20361147640950322,0.500727598737573,-0.7148206280397349,-0.887913191676515,0.3692221933198573,0.5230805659741136,0.6862635212648237,2.233908382438418,-5.7206686707974095e-05,1.9567097807299024e-06,1.2102996754155581e-05,1.1241914525679655e-14
-5.735207789212687,-13.15481787084541,-4.253049523856737,-4.616329645226681,-2.642490827889008,-0.22754191551583294,0.759097219935335,-0.030318983159221102,-0.12602909237450496,-2.3034081799680277,-0.7499993558744565,-0.549266167335245,-0.2964024154460363,4.8196875773906185e-05,1.214318476378358e-05,7.234526448474263e-06,1.1241914525679665e-14
